SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
All Is Full of Love,Greatest Hits,https://open.spotify.com/album/7AUW3zs7IECZjVVks1tfb2,2002,31861872,"You'll be given love
You'll be taken care of
You'll be given love
You have to trust it
Maybe not from the sources
You have poured yours
Maybe not from the directions
You are staring at
Twist your head around
It's all around you
All is full of love
All around you
♪
You just ain't receiving (all is full of love)
Your phone is off the hook (all is full of love)
Your doors are all shut (all is full of love)
And be the little angel (all is full of love)
All is full of love (all is full of love)
All is full of love (All is full of love)
All (all is full of love)
All is full of love (all is full of love)
(All is full of love)
(All is full of love)
(All is full of love)
(All is full of love)
(All is full of love)
(All is full of love)
(All is full of love)
(All is full of love)
(All is full of love)
♪
(All is full of love)",https://open.spotify.com/track/3rrtbnOBDzKQfyYKTezEFe,287
All We Are,Mount Wittenberg Orca (Expanded Edition),https://open.spotify.com/album/14xINYt1omt6jlxv8AFbly,2023,661593,"In the nursery
Where ocean meets the shore
In the place where we could meet
You will be all alone
So as we angle to the new
Tow on a thawing frontier
Never a woman on the shore
A witness or a love
I looked out for you
But looking never meant less
I could feel that you were gone
And I despondent turned and left
I reached out for you
But reaching never meant less
I could feel that you were gone
And I despondent turned and left
We looked out across the long horizon
We looked in each other's eyes
And realized that we are only one
Through a moment we could glimpse an infinity
And through an infinity we could see
All in all is all we are",https://open.spotify.com/track/70eo8KLj0DFdbis2QYfas0,283
Amphibian,Cocoon,https://open.spotify.com/album/7xlxoBef80B8YbOhF24ElB,2002,501747,"His wicked sense of humour
Suggests exciting sex
His fingers focus on her
A Touches, he's Venus as a Boy
He believes in a beauty
He's Venus as a boy
He's exploring
The taste of her
Arousal
So accurate
He sets off the beauty in her
He's Venus as a boy
He believes in beauty
He's Venus as a boy",https://open.spotify.com/track/2kPHHlQBDSf6YLHBJimpiL,274
Army of Me,Greatest Hits,https://open.spotify.com/album/7AUW3zs7IECZjVVks1tfb2,2002,94071900,"Stand up
You've got to manage
I won't sympathize
Anymore
And if you complain once more
You'll meet an army of me
And if you complain once more
You'll meet an army of me
You're all right
There's nothing wrong
Self-sufficience please
And get to work
And if you complain once more
You'll meet an army of me
And if you complain once more
You'll meet an army of me
Army of me
♪
You're on your own now
We won't save you
Your rescue squad
Is too exhausted
And if you complain once more
You'll meet an army of me
And if you complain once more
You'll meet an army of me
And if you complain once more
You'll meet an army of me
And if you complain once more
You'll meet an army of me
Army of me",https://open.spotify.com/track/4juNfpAxJSjVNVYS6z5afp,235
Army Of Me,Army Of Me,https://open.spotify.com/album/0yaoVWBGXLr14Gm4A1bCHC,1995,94071900,"Stand up
You've got to manage
I won't sympathize
Anymore
And if you complain once more
You'll meet an army of me
And if you complain once more
You'll meet an army of me
♪
You're alright
There's nothing wrong
Self-sufficience, please
And get to work
And if you complain once more
You'll meet an army of me
And if you complain once more
You'll meet an army of me
Army of me
♪
You're on your own now
We won't save you
Your rescue squad
Is too exhausted
And if you complain once more
You'll meet an army of me
And if you complain once more
You'll meet an army of me
And if you complain once more
You'll meet an army of me
And if you complain once more
You'll meet an army of me
Army of me",https://open.spotify.com/track/4vOs2KWKIYFtr3HNrjoRRG,237
Army Of Me - Masseymix,Army Of Me,https://open.spotify.com/album/2SR6dfeg9xDYreJJctI7XF,1995,479374,"Stand up
you've got to manage
i won't sympathize
anymore
And if you complain once more
you'll meet an army of me
You're allright
there's nothing wrong
self-sufficience please!
and get to work
And if you complain once more
you'll meet an army of me
You're on your own now
we won't save you
your rescue-squad
is too exhausted
And if you complain once more
you'll meet an army of me",https://open.spotify.com/track/0UKeDiumrupPyk4T3R9hGp,317
Army Of Me - Sucker Punch Remix,Army Of Me,https://open.spotify.com/album/2SR6dfeg9xDYreJJctI7XF,1995,983518,"Stand up
you've got to manage
i won't sympathize
♪
anymore
And if you complain once more
you'll meet an army of me
♪
You're allright
there's nothing wrong
self-sufficience please!
and get to work
And if you complain once more
you'll meet an army of me
♪
You're on your own now
we won't save you
your rescue-squad
is too exhausted
And if you complain once more
♪
you'll meet an army of me",https://open.spotify.com/track/4GlINJTlEq7g9diy5dJ9an,279
Arpeggio - Cornucopia Live,Cornucopia: Live,https://open.spotify.com/album/3RthPqHIceYcEAYWohiD8n,2025,30200,"It is an emergency
In order to survive as species
We need to define our utopia
The Paris Climate Accord is a modern utopia
Impossible to imagine
But overcoming our environmental challenges
Is the only way we can survive
We have to imagine something that doesn't exist
Carved intentionally into the future
And demand a space for hope
Weave a matriarchal dome
Let's imagine a world
Where nature and technology collaborate
And make a song about it
Let's make a musical mock-up
For our destination
And then move into it
After disasters
In all mythologies around the world
One captures the spirit
With a flute and starts anew
Carved out of the first fauna
We arrive on a new island
With mutant species
Unknown hybrids of birds and plants
Our past is on loop
Turn it off
Let's be intentional about the light
Imagine a future
Be in it",https://open.spotify.com/track/0SsdfZGaPD3fd5NNTCvUnt,108
Atom Dance,Vulnicura,https://open.spotify.com/album/1ttnHZ0HVGMSMTJdZZ7kYK,2015,1957471,"We are each other's hemispheres
♪
I am fine tuning my soul
To the universal wavelength
No one is a lover alone
I propose an atom dance
♪
Our hearts are coral reefs in low tide
Love is the ocean we crave
Restlessly turning around and around
I am dancing towards transformation
Learning by love to open it up
Let this ugly wound breathe
We fear unconditional heart space
Healed by atom dance
♪
When you feel the flow as primal love
♪
Enter the pain and dance with me!
We are each other's hemispheres
♪
We aim at peeling off
Dead layers of loveless love
♪
No one is a lover alone
Most hearts fear their own home
Becoming themselves fully
It scares them off
When you feel the flow as primal love
Enter the pain and dance with me!
No one is a lover alone
♪
Most hearts fear their own home
You are my second hemisphere
The atoms are dancing
You are my second hemisphere, hemisphere
The atoms are dancing, dancing
Atoms are laughing at last
At last",https://open.spotify.com/track/6Bs5YRwXzAMapneRQHCgav,490
Aurora - Opiate Version,Pagan Poetry,https://open.spotify.com/album/5dxZE2VHgTYfXGCecgVXB6,2001,41353,"Aurora ringtone on your mobile phone
Treading
The glacier head
Looking hard for
Moments of shine
From twilight
To twilight
Ahhhhh...
Utter mundane
Aurora
Goddess sparkle
Shoot me
Beyond this suffer
The need
Is great
Aurora
Ahhhh...
Utter mundane
Aurora
Goddess sparkle
A mountain shade
Suggests your shape
I tumbled down
On my knees
Fill the mouth
With snow
The way it melts
I wish
To melt
Into you
Aurora
Ahhh...
Utter mundane
Spark the sun off
Spark the sun off
Spark the sun off
Spark the sun off me",https://open.spotify.com/track/1qIc6kixxWGSO7cw0GDbTC,246
